Noun	Plurals
doctor	doctors
opportunity	opportunities
film	films,film
conference	conferences
operation	operations
application	application,applications
press	presses,press
extent	extents
addition	additions,addition
station	stations
window	windows
shop	shops
access	access,accesses
region	regions
doubt	doubts,doubt
majority	majorities
degree	degrees
television	televisions,television
blood	bloods,blood
statement	statements
sound	sound,sounds
election	elections
parliament	parliaments
site	sites
mark	marks
importance	importances,importance
title	titles
species	species
increase	increases,increase
return	returns
concern	concern,concerns
public	publics
competition	competitions,competition
software	software
glass	glasses,glass
lady	ladies
answer	answers
earth	earth,earths
daughter	daughtren,daughters
purpose	purposes,purpose
responsibility	responsibility,responsibilities
leader	leaders
river	rivers
eye	eyen,eyes
ability	abilities,ability
appeal	appeals
opposition	oppositions
campaign	campaigns
respect	respects,respect
task	tasks
instance	instances
sale	sales
whole	wholes
officer	officers
method	methods
division	divisions,division
source	sources
piece	pieces
pattern	patterns
lack	lacks
disease	diseases,disease
equipment	equipments,equipment
surface	surfaces
oxford	oxford,oxfords
demand	demands,demand
post	posts
mouth	mouths
radio	radio,radios
provision	provisions
attempt	attempts
sector	sectors
firm	firms
status	statuses
peace	peaces,peace
variety	variety,varieties
teacher	teachers
show	show,shows
speaker	speakers
baby	babies
arm	arms
base	bases
miss	misses,miss
safety	safety,safeties
trouble	troubles,trouble
culture	cultures,culture
direction	direction,directions
context	contexts,context
character	character,characters
box	boxes
discussion	discussions
past	pasts
weight	weights,weight
organisation	organisations,organisation
start	starts
brother	brothers,brethren
league	leagues
condition	conditions
machine	machines
argument	argument,arguments
sex	sex,sexes
budget	budgets
english	english
transport	transports,transport
share	shares
mum	mums
cash	cash,cashes
principle	principles
exchange	exchanges
aid	aid,aids
library	libraries
version	version,versions
rule	rules
tea	teas,tea
balance	balances,balance
afternoon	afternoons
reference	reference,references
protection	protection,protections
truth	truth,truths
district	districts
turn	turns
smith	smiths
review	reviews
minute	minutes
duty	duties,duty
survey	surveys
presence	presences,presence
influence	influence,influences
stone	stones,stone
dog	dogs
benefit	benefits
collection	collections
executive	executives
speech	speeches,speech
function	functions
queen	queens
marriage	marriage,marriages
stock	stock,stocks
failure	failure,failures
kitchen	kitchens
student	students
effort	efforts
holiday	holidays
career	careers
attack	attacks
length	lengths
horse	horses
progress	progress,progresses
plant	plants
visit	visits
relation	relations
ball	balls
memory	memory,memories
bar	bar,bars
opinion	opinions
quarter	quarter,quarters
impact	impacts,impact
scale	scales
race	race,races
image	images
trust	trusts,trust
justice	justice,justices
edge	edges
gas	gases,gasses
railway	railways
expression	expressions
advantage	advantage,advantages
gold	golds,gold
wood	wood,woods
network	networks
text	texts,text
forest	forests
sister	sisters
chair	chairs
cause	cause,causes
foot	feet
rise	rises
half	halves
winter	winter,winters
corner	corners
insurance	insurance,insurances
step	steps
damage	damage,damages
credit	credits,credit
pain	pain,pains
possibility	possibilities,possibility
legislation	legislation,legislations
strength	strengths,strength
speed	speeds
crime	crime,crimes
hill	hills
debate	debate,debates
will	wills
supply	supplies,supply
present	presents
confidence	confidence,confidences
mary	marys
patient	patients
wind	wind,winds
solution	solutions
band	bands
museum	musea,museums
farm	farms
pound	pounds
match	matches
assessment	assessments
message	messages
football	footballs,football
no	noes
animal	animals
skin	skins,skin
scene	scenes
article	articles
stuff	stuff,stuffs
introduction	introductions
play	play,plays
administration	administration,administrations
fear	fears,fear
dad	dads
proportion	proportion,proportions
island	islands
contact	contact,contacts
japan	japan
claim	claims
kingdom	kingdoms
video	videos,video
tv	tvs
existence	existences,existence
telephone	telephones
move	moves
traffic	traffic
distance	distances,distance
relief	relief,reliefs
cabinet	cabinets
unemployment	unemployment,unemployments
reality	reality,realities
target	targets
trial	trials
rock	rocks,rock
concept	concepts
spirit	spirits
accident	accident,accidents
organization	organizations,organization
construction	constructions,construction
coffee	coffees,coffee
phone	phones
distribution	distribution,distributions
train	trains
sight	sights,sight
difficulty	difficulty,difficulties
factor	factors
exercise	exercises
weekend	weekends
battle	battles
prison	prisons,prison
grant	grants
aircraft	aircraft
tree	treen,trees
bridge	bridges
strategy	strategy,strategies
contrast	contrasts,contrast
communication	communication,communications
background	backgrounds,background
shape	shapes
wine	wines,wine
star	stars
hope	hope,hopes
selection	selections
detail	detail,details
user	users
path	paths
client	clients
search	searches
master	masters
rain	rain,rains
offer	offers
goal	goals
dinner	dinner,dinners
freedom	freedom,freedoms
attitude	attitudes,attitude
while	whiles
agency	agencies,agency
seat	seats
manner	manners
favour	favours,favour
fig	figs,fig
pair	pair,pairs
crisis	crises
smile	smiles
prince	princes
danger	dangers
call	calls
capacity	capacity,capacities
output	output,outputs
note	notes,note
procedure	procedure,procedures
theatre	theatre,theatres
tour	tours
recognition	recognition,recognitions
middle	middles
absence	absences,absence
sentence	sentences
package	package,packages
track	tracks
card	card,cards
sign	signage,signs
commitment	commitment,commitments
player	players
threat	threats
weather	weathers,weather
element	elements
conflict	conflicts
notice	notices
victory	victory,victories
bottom	bottoms,bottom
finance	finances,finance
fund	funds
violence	violence,violences
file	files
profit	profit,profits
standard	standards
jack	jacks
route	routes
china	chinas,china
expenditure	expenditure,expenditures
second	seconds
discipline	disciplines,discipline
cell	cells
reaction	reactions
castle	castles
congress	congress,congresses
individual	individuals
lead	leads,lead
consideration	considerations,consideration
debt	debts
option	options
payment	payments,payment
exhibition	exhibition,exhibitions
reform	reforms,reform
emphasis	emphasis,emphases
spring	spring,springs
audience	audiences
feature	features
touch	touches,touch
estate	estates
assembly	assembly,assemblies
volume	volumes,volume
youth	youths,youth
contribution	contributions
curriculum	curricula,curriculums
appearance	appearance,appearances
boat	boats
institute	institutes
membership	membership,memberships
branch	branches
bus	buses,busses
waste	wastes,waste
heat	heats,heat
neck	necks
object	objects
captain	captains
driver	drivers
challenge	challenges
conversation	conversation,conversations
occasion	occasions
code	codes,code
crown	crowns
birth	birth,births
silence	silences,silence
literature	literatures,literature
faith	faiths,faith
hell	hell,hells
entry	entry,entries
transfer	transfer,transfers
gentleman	gentlemen
bag	bags
coal	coal,coals
investigation	investigation,investigations
leg	legs
belief	beliefs,belief
total	totals
major	majors
document	documents
description	description,descriptions
murder	murder,murders
aim	aims
manchester	manchester
flight	flights,flight
conclusion	conclusions
drug	drugs
tradition	traditions,tradition
pleasure	pleasures
connection	connection,connections
owner	owners
treaty	treaties
desire	desire,desires
professor	professors
copy	copies
ministry	ministries
acid	acids,acid
palace	palaces
address	addresses
institution	institutions
lunch	lunch,lunches
generation	generation,generations
partner	partners
engine	engines
newspaper	newspapers,newspaper
cross	crosses
reduction	reductions,reduction
welfare	welfare,welfares
definition	definition,definitions
key	keys
release	releases
vote	votes
examination	examinations
judge	judges
atmosphere	atmospheres
leadership	leadership,leaderships
sky	skies
breath	breaths,breath
creation	creations,creation
row	rows
guide	guides
milk	milks,milk
cover	covers
screen	screens
intention	intention,intentions
criticism	criticisms,criticism
silver	silver,silvers
customer	customers
journey	journeys
explanation	explanations,explanation
green	greens
measure	measures
brain	brains
significance	significances,significance
phase	phases
injury	injuries,injury
run	runs
coast	coasts
technique	techniques,technique
valley	valleys
drink	drinks,drink
magazine	magazines
potential	potentials
drive	drives
revolution	revolutions,revolution
bishop	bishops
settlement	settlements
christ	christs
metal	metal,metals
motion	motion,motions
index	indexes,indices
adult	adults
inflation	inflations
sport	sport,sports
surprise	surprises,surprise
pension	pensions
factory	factories
tape	tapes
flow	flow,flows
iron	iron,irons
trip	trips
lane	lanes
pool	pools
independence	independences,independence
hole	holes
flat	flats
content	content,contents
pay	pay,pays
noise	noises,noise
combination	combinations
session	sessions
appointment	appointments
fashion	fashion,fashions
consumer	consumers
accommodation	accommodation,accommodations
temperature	temperatures,temperature
mike	mikes
religion	religion,religions
author	authors
nation	nations
northern	northerns
sample	samples
assistance	assistances,assistance
interpretation	interpretations,interpretation
aspect	aspects
display	displays
shoulder	shoulders
agent	agents
gallery	galleries
republic	republics
cancer	cancers,cancer
proposal	proposals
sequence	sequences
ship	ships
interview	interviews
vehicle	vehicles
democracy	democracy,democracies
improvement	improvement,improvements
involvement	involvements,involvement
general	generals
enterprise	enterprises
van	vans
meal	meals
breakfast	breakfast,breakfasts
motor	motors
channel	channels
impression	impressions
tone	tones
sheet	sheets
pollution	pollutions,pollution
beauty	beauties,beauty
square	squares
vision	visions,vision
spot	spots
distinction	distinctions,distinction
brown	browns,brown
crowd	crowds
fuel	fuels,fuel
desk	desks
sum	sums
decline	decline,declines
revenue	revenues,revenue
fall	falls
diet	diets
bedroom	bedrooms
soil	soils,soil
reader	readers
shock	shocks
fruit	fruits,fruit
behalf	behalfs,behalves
deputy	deputies
roof	rooves,roofs
nose	noses
steel	steel,steels
artist	artists
graham	graham,grahams
plate	plates,plate
song	songs
maintenance	maintenance,maintenances
formation	formations
grass	grasses,grass
spokesman	spokesmen
ice	ice,ices
talk	talks
program	programs
link	links
ring	rings
expert	experts
establishment	establishment,establishments
plastic	plastics
candidate	candidates
rail	rails
passage	passages
parish	parishes
emergency	emergencies
liability	liabilities,liability
identity	identities
location	locations
framework	frameworks
strike	strikes
countryside	countrysides
map	maps
lake	lakes
household	households
approval	approval,approvals
border	borders
bottle	bottles
bird	birds
constitution	constitutions
autumn	autumns
cat	cats
agriculture	agricultures
concentration	concentration,concentrations
guy	guys
dress	dress,dresses
victim	victims
mountain	mountains
editor	editors
theme	themes
error	error,errors
loan	loans
stress	stress,stresses
recovery	recoveries
electricity	electricities,electricity
recession	recession,recessions
wealth	wealth,wealths
request	requests
comparison	comparison,comparisons
white	white,whites
walk	walks
focus	foci,focuses
chief	chiefs
parent	parents
sleep	sleeps,sleep
mass	mass,masses
bush	bush,bushes
foundation	foundations
bath	baths
item	items
lifespan	lifespans
publication	publications,publication
decade	decades
beach	beaches
sugar	sugar,sugars
height	heights,height
charity	charity,charities
writer	writers
panel	panels
struggle	struggles
dream	dreams
outcome	outcomes
efficiency	efficiency,efficiencies
offence	offences
resolution	resolution,resolutions
reputation	reputations
specialist	specialists
pub	pubs
co-operation	cooperation,cooperations
port	port,ports
incident	incidents
representation	representations,representation
bread	breads,bread
chain	chains
initiative	initiatives
clause	clauses
resistance	resistances,resistance
mistake	mistakes
worker	workers
advance	advances
empire	empires
notion	notions
mirror	mirrors
delivery	deliveries
chest	chests
licence	licence,licences
average	averages
awareness	awareness,awarenesses
travel	travel,travels
expansion	expansion,expansions
block	blocks
alternative	alternatives
chancellor	chancellors
meat	meats,meat
store	stores
self	selves,selfs
break	breaks
drama	drama,dramas
corporation	corporations
currency	currencies,currency
extension	extension,extensions
convention	conventions
partnership	partnership,partnerships
skill	skill,skills
furniture	furnitures,furniture
round	rounds
regime	regimes
inquiry	inquiries,inquiry
rugby	rugby,rugbies
philosophy	philosophy,philosophies
scope	scopes
gate	gates
minority	minority,minorities
intelligence	intelligence,intelligences
restaurant	restaurants
consequence	consequences
mill	mills
golf	golf
retirement	retirements,retirement
priority	priorities
plane	planes
gun	guns
gap	gaps
core	cores,core
uncle	uncles
thatcher	thatchers
fun	fun
arrival	arrival,arrivals
snow	snows,snow
command	commands
abuse	abuse,abuses
limit	limits
championship	championship,championships
amenity	amenities
bacterium	bacteria
birch	birches
fort	forts
yak	yaks
zero	zeroes,zeros
thousand	thousands
prompt	prompts
grocery	groceries
boogeyman	boogeymen
brother-in-law	brothers-in-law
chrysalis	chrysalides,chrysalises
co-producer	co-producers
cry	cries
fox	foxes
knife	knives
wharf	wharfs,wharves
postbox	postboxes
axis	axises,axes
criterion	criteria
truss	trusses
blitz	blitzes
puppy	puppies
ray	rays
potato	potatoes
tomato	tomatoes,tomato
photo	photos
piano	pianos,piani
halo	halos
volcano	volcanos,volcanoes
cactus	cactuses,cacti
ellipsis	ellipses
phenomenon	phenomena
sheep	sheep
deer	deer
goose	geese
tooth	teeth
mouse	mice
